Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
189,Dennis Schröder,32,CLE,PG,30,3,21.4,2.8,6.9,.401,0.6,2.1,.290,2.2,4.8,.448,.444,2.1,2.4,.861,0.4,1.9,2.3,4.3,0.8,0.2,1.5,1.4,8.2,,schrode01
190,Tyler Burton,25,MEM,SF,12,0,25.6,3.5,9.3,.375,1.8,5.5,.333,1.7,3.8,.435,.473,1.9,2.3,.852,0.7,3.5,4.2,1.0,0.9,0.3,0.9,2.6,10.8,,burtoty01
191,Toby Okani,24,MEM,SG,5,3,35.2,4.4,12.0,.367,1.8,5.4,.333,2.6,6.6,.394,.442,0.2,1.6,.125,1.6,1.2,2.8,1.0,0.6,0.2,0.6,3.2,10.8,,okanito01
192,Daeqwon Plowden,27,SAC,SG,31,6,26.5,3.8,8.8,.431,2.0,5.9,.335,1.8,3.0,.620,.542,1.3,1.5,.848,1.1,2.0,3.1,1.3,0.7,0.2,0.7,2.4,10.8,,plowdda01
193,Jakob Poeltl,30,TOR,C,45,43,25.1,4.7,6.8,.695,0.0,0.0,,4.7,6.8,.695,.695,1.3,2.1,.624,2.5,4.5,7.1,2.0,0.8,0.7,1.2,3.2,10.7,,poeltja01
194,Jock Landale,30,2TM,C,68,27,22.1,4.1,8.1,.515,1.1,2.8,.383,3.1,5.2,.586,.582,1.2,1.9,.635,2.7,3.0,5.7,1.7,0.5,0.5,0.9,2.2,10.6,,landajo01
194,Jock Landale,30,MEM,C,45,25,23.6,4.4,8.6,.514,1.1,2.9,.380,3.4,5.8,.581,.577,1.3,2.0,.674,3.1,3.4,6.5,1.7,0.6,0.5,1.0,2.3,11.3,,landajo01
194,Jock Landale,30,ATL,C,23,2,19.4,3.6,6.9,.516,1.1,2.8,.391,2.5,4.1,.600,.594,0.9,1.6,.541,1.8,2.3,4.1,1.7,0.4,0.6,0.6,2.1,9.1,,landajo01
195,Bub Carrington,20,WAS,PG,81,47,27.6,3.8,8.9,.425,2.0,5.0,.404,1.8,3.9,.451,.539,1.0,1.3,.731,0.4,3.0,3.4,4.6,0.6,0.2,2.3,2.2,10.6,,carrica01
196,Caleb Love,24,POR,SG,48,1,21.1,4.0,10.2,.389,1.9,6.1,.320,2.0,4.1,.490,.484,0.8,1.0,.735,0.5,1.9,2.4,2.6,0.6,0.1,1.3,1.0,10.6,,loveca01
197,Marvin Bagley III,26,2TM,PF,60,12,20.0,4.2,6.9,.618,0.4,0.9,.462,3.8,6.0,.641,.647,1.6,2.4,.660,2.5,3.6,6.1,1.4,0.5,0.7,1.0,2.1,10.5,,baglema01
197,Marvin Bagley III,26,WAS,PF,38,8,19.2,4.1,6.5,.626,0.2,0.5,.421,3.8,6.0,.643,.642,1.8,2.6,.711,2.6,3.1,5.7,1.5,0.5,0.7,1.2,2.1,10.1,,baglema01
197,Marvin Bagley III,26,DAL,PF,22,4,21.4,4.5,7.5,.606,0.7,1.5,.485,3.8,6.0,.636,.655,1.2,2.1,.553,2.4,4.4,6.8,1.3,0.4,0.7,0.8,2.0,11.0,,baglema01
198,Josh Oduro,25,NOP,PF,2,0,25.0,4.5,7.5,.600,0.0,1.0,.000,4.5,6.5,.692,.600,1.5,2.5,.600,4.0,4.5,8.5,1.0,0.0,0.0,0.5,4.0,10.5,,odurojo01
199,Adama-Alpha Bal,22,MEM,SG,8,1,30.1,3.5,8.5,.412,2.3,5.5,.409,1.3,3.0,.417,.544,1.1,1.3,.900,0.8,2.4,3.1,2.4,1.1,0.1,0.8,3.4,10.4,,balad01
200,Will Riley,19,WAS,SF,73,17,21.9,3.7,8.3,.443,1.1,3.3,.320,2.6,5.0,.526,.507,1.9,2.4,.798,0.8,2.1,2.8,1.9,0.7,0.1,1.3,1.2,10.4,,rileywi01
201,Egor Dёmin,19,BRK,PG,52,45,25.2,3.4,8.6,.399,2.4,6.2,.385,1.1,2.4,.433,.537,1.0,1.3,.831,0.4,2.8,3.2,3.3,0.8,0.3,1.7,1.8,10.3,,demineg01
202,Tari Eason,24,HOU,PF,59,33,25.8,3.9,9.5,.414,1.6,4.3,.361,2.4,5.2,.458,.496,0.8,1.1,.766,2.1,4.2,6.2,1.5,1.2,0.5,1.3,2.3,10.3,,easonta01
203,A.J. Green,26,MIL,SG,77,67,29.0,3.3,7.8,.424,2.9,7.0,.420,0.4,0.8,.452,.612,0.7,0.8,.855,0.4,2.3,2.7,2.0,0.5,0.1,0.9,2.3,10.3,,greenaj01
204,DaQuan Jeffries,28,SAC,SG,3,0,20.0,3.7,6.3,.579,1.3,3.0,.444,2.3,3.3,.700,.684,1.7,1.7,1.000,1.0,0.7,1.7,0.3,0.7,0.0,0.0,3.0,10.3,,jeffrda01
205,Derrick Jones Jr.,28,LAC,SF,49,44,27.1,3.9,7.7,.504,1.1,3.1,.362,2.7,4.6,.601,.577,1.4,1.9,.763,1.2,2.2,3.4,1.4,0.9,1.0,0.8,2.1,10.3,,jonesde02
206,Khris Middleton,34,2TM,SF,62,49,23.1,3.6,8.7,.419,1.0,3.0,.355,2.6,5.7,.452,.480,1.9,2.2,.873,0.8,2.9,3.7,2.8,0.7,0.1,1.7,2.3,10.2,,middlkh01
206,Khris Middleton,34,WAS,SF,34,34,24.3,3.8,8.8,.433,1.0,2.9,.333,2.9,5.9,.483,.488,1.7,2.0,.841,0.9,3.1,3.9,3.3,0.8,0.3,1.7,2.5,10.3,,middlkh01
206,Khris Middleton,34,DAL,SF,28,15,21.6,3.4,8.5,.401,1.1,3.0,.381,2.3,5.5,.412,.468,2.1,2.3,.908,0.8,2.7,3.4,2.3,0.5,0.0,1.8,2.1,10.0,,middlkh01
207,Neemias Queta,26,BOS,C,76,75,25.3,4.3,6.6,.653,0.0,0.1,.125,4.3,6.5,.662,.654,1.6,2.3,.703,3.0,5.3,8.4,1.7,0.8,1.3,1.0,2.8,10.2,,quetane01
208,D'Angelo Russell,29,DAL,PG,26,3,19.0,3.6,8.9,.405,1.3,4.3,.295,2.3,4.6,.508,.476,1.7,2.3,.717,0.3,2.0,2.3,4.0,0.5,0.1,1.9,1.2,10.2,,russeda01
209,Jalen Smith,25,CHI,C,53,21,20.7,3.7,7.6,.483,1.5,4.2,.373,2.1,3.5,.614,.584,1.3,1.8,.742,1.8,4.8,6.7,1.2,0.5,0.8,1.0,2.1,10.2,,smithja04
210,Ziaire Williams,24,BRK,SF,56,13,22.9,3.3,7.7,.425,1.5,4.5,.343,1.8,3.3,.538,.524,2.1,2.5,.850,0.5,1.9,2.4,1.1,1.4,0.4,1.1,2.1,10.2,,willizi02
211,Kevin Huerter,27,2TM,SG,68,14,22.5,3.9,8.6,.451,1.4,4.7,.305,2.5,3.9,.623,.533,0.8,1.0,.768,0.5,3.0,3.5,2.6,0.9,0.5,1.1,1.7,10.0,,huertke01
211,Kevin Huerter,27,CHI,SF,44,11,23.6,4.2,9.2,.455,1.6,5.1,.314,2.6,4.1,.630,.542,0.9,1.3,.732,0.5,3.3,3.8,2.6,0.8,0.6,1.1,1.9,10.9,,huertke01
211,Kevin Huerter,27,DET,SG,24,3,20.5,3.3,7.6,.440,1.1,4.0,.284,2.2,3.6,.609,.514,0.5,0.5,.923,0.5,2.4,2.9,2.5,1.0,0.3,1.0,1.3,8.3,,huertke01
212,Olivier-Maxence Prosper,23,MEM,PF,53,24,18.6,3.6,6.6,.549,1.1,2.8,.405,2.5,3.8,.653,.634,1.6,2.2,.754,1.1,2.4,3.5,1.0,0.8,0.2,0.9,1.6,10.0,,prospol01
213,Harrison Barnes,33,SAS,PF,76,52,25.8,3.4,7.4,.456,1.8,4.6,.388,1.6,2.8,.569,.577,1.3,1.6,.829,0.8,2.0,2.8,1.9,0.6,0.2,0.8,1.1,9.9,,barneha02
214,Tristan Da Silva,24,ORL,SF,76,34,24.7,3.6,8.1,.450,1.6,4.2,.376,2.1,3.9,.529,.547,1.1,1.2,.882,0.8,2.9,3.7,1.6,0.9,0.3,0.9,1.5,9.9,,dasiltr01
215,Jordan Miller,26,LAC,SF,59,1,22.0,3.5,6.7,.529,0.6,1.8,.343,2.9,4.8,.600,.576,2.2,2.9,.771,0.8,2.2,3.0,2.2,0.8,0.2,1.0,1.0,9.9,,millejo02
216,Isaiah Stewart,24,DET,C,57,13,22.8,3.8,6.9,.545,0.7,2.1,.331,3.1,4.8,.636,.594,1.7,2.3,.760,1.6,3.4,5.0,1.2,0.3,1.6,1.1,2.9,9.9,,stewais01
217,Ausar Thompson,23,DET,SF,72,71,26.0,4.2,8.0,.524,0.1,0.3,.250,4.1,7.6,.536,.529,1.5,2.6,.571,2.1,3.7,5.7,3.1,2.0,0.9,1.5,2.7,9.9,,thompau01
218,Precious Achiuwa,26,SAC,C,72,56,23.8,4.3,8.0,.530,0.4,1.3,.287,3.9,6.7,.578,.554,1.0,1.8,.547,2.4,4.3,6.7,1.3,0.9,0.7,0.9,1.7,9.8,,achiupr01
219,Royce O'Neale,32,PHO,SF,78,67,28.4,3.4,8.0,.421,2.7,6.7,.408,0.7,1.3,.486,.590,0.3,0.5,.711,0.8,4.0,4.8,2.7,1.1,0.4,1.3,2.3,9.8,,onealro01
220,Zach Collins,28,CHI,C,10,0,18.4,3.7,6.4,.578,0.9,2.1,.429,2.8,4.3,.651,.648,1.4,2.0,.700,1.6,4.0,5.6,1.5,0.2,0.4,1.0,1.8,9.7,,colliza01
221,Lucas Williamson,27,MEM,SG,6,2,31.5,3.3,10.2,.328,2.0,7.2,.279,1.3,3.0,.444,.426,1.0,1.0,1.000,1.8,3.5,5.3,2.5,1.3,0.0,1.3,3.5,9.7,,willilu01
222,Micah Potter,27,IND,C,46,6,19.0,3.2,6.1,.518,1.5,3.4,.430,1.7,2.7,.631,.639,1.8,2.2,.842,1.2,3.6,4.8,1.5,0.4,0.3,0.9,1.7,9.6,,pottemi01
223,Daniel Gafford,27,DAL,C,55,44,21.7,3.8,5.7,.655,0.0,0.0,,3.8,5.7,.655,.655,2.0,2.9,.683,2.5,4.4,6.9,1.1,0.8,1.3,1.1,2.6,9.5,,gaffoda01
224,Jay Huff,27,IND,C,81,47,20.9,3.5,7.4,.476,1.4,4.5,.318,2.1,2.9,.723,.573,1.0,1.2,.823,0.9,3.1,4.0,1.5,0.5,1.8,0.9,2.3,9.5,,huffja01
225,Zaccharie Risacher,20,ATL,SF,66,45,22.4,3.6,8.0,.453,1.4,3.9,.369,2.2,4.1,.531,.542,0.9,1.4,.644,1.0,2.7,3.8,1.1,0.9,0.5,0.8,2.2,9.5,,risacza01
226,Javon Small,23,MEM,PG,40,12,20.1,3.2,6.7,.472,1.5,3.3,.439,1.7,3.4,.504,.580,1.7,2.0,.825,0.9,2.3,3.1,3.8,0.8,0.2,1.4,1.6,9.5,,smallja01
227,Aaron Wiggins,27,OKC,SG,64,20,21.7,3.6,8.3,.435,1.5,4.2,.356,2.1,4.1,.515,.525,0.8,1.1,.736,0.6,2.5,3.1,1.6,0.9,0.4,1.2,1.3,9.5,,wiggiaa01
228,Daniss Jenkins,24,DET,PG,71,19,20.2,3.3,7.9,.412,1.0,2.7,.376,2.2,5.2,.431,.477,1.9,2.3,.832,0.7,1.6,2.3,3.9,0.9,0.2,1.6,1.5,9.4,,jenkida01
229,T.J. McConnell,33,IND,PG,56,4,17.2,4.3,8.0,.538,0.3,0.9,.320,4.0,7.1,.565,.556,0.4,0.5,.862,0.4,1.8,2.2,5.1,1.0,0.2,1.1,1.1,9.4,,mccontj01
230,Svi Mykhailiuk,28,UTA,SF,50,41,23.1,3.5,7.2,.478,2.0,4.8,.408,1.5,2.4,.615,.613,0.5,0.6,.893,0.7,1.8,2.5,1.9,0.5,0.1,0.8,1.3,9.4,,mykhasv01
231,Marcus Smart,31,LAL,SG,61,53,28.6,3.1,7.7,.399,1.6,4.7,.333,1.5,3.0,.503,.501,1.7,2.1,.819,0.6,2.2,2.8,2.9,1.4,0.4,1.5,2.6,9.4,,smartma01
232,Davion Mitchell,27,MIA,PG,69,69,28.6,3.7,7.6,.486,1.3,3.3,.389,2.4,4.4,.558,.569,0.6,0.9,.646,0.5,2.2,2.7,6.6,1.0,0.2,1.6,2.6,9.3,,mitchda01
233,Isaac Okoro,25,CHI,SG,63,62,26.9,3.3,7.3,.460,1.2,3.5,.330,2.2,3.8,.580,.539,1.4,1.8,.795,1.1,1.7,2.7,1.6,0.7,0.5,0.7,2.6,9.3,,okorois01
234,Landry Shamet,28,NYK,SG,51,12,23.0,3.1,7.1,.437,2.0,5.2,.392,1.1,2.0,.554,.578,1.1,1.5,.711,0.5,1.4,1.8,1.4,0.6,0.2,0.6,1.5,9.3,,shamela01
235,Jaden Hardy,23,2TM,SG,56,4,15.8,3.2,7.6,.426,1.8,4.6,.395,1.4,2.9,.473,.546,1.0,1.3,.753,0.3,1.3,1.5,1.0,0.3,0.1,1.1,1.5,9.2,,hardyja02
235,Jaden Hardy,23,DAL,SG,34,4,12.6,2.3,5.7,.402,1.4,3.6,.371,0.9,2.1,.457,.521,0.9,1.2,.775,0.3,1.1,1.4,0.9,0.3,0.1,0.8,1.1,6.9,,hardyja02
235,Jaden Hardy,23,WAS,SG,22,0,20.6,4.6,10.4,.445,2.5,6.1,.418,2.1,4.3,.484,.568,1.1,1.5,.727,0.2,1.5,1.7,1.2,0.3,0.2,1.6,2.0,12.9,,hardyja02
236,Isaiah Hartenstein,27,OKC,C,47,46,24.2,3.9,6.3,.622,0.0,0.1,.000,3.9,6.1,.637,.622,1.4,2.2,.610,3.2,6.3,9.4,3.5,1.0,0.8,1.7,2.5,9.2,,harteis01
237,Sam Hauser,28,BOS,PF,78,49,24.8,3.2,7.7,.419,2.5,6.5,.393,0.7,1.2,.557,.584,0.2,0.3,.850,0.7,3.1,3.8,1.5,0.5,0.3,0.4,1.4,9.2,,hausesa01
238,Gui Santos,23,GSW,PF,67,30,20.6,3.4,6.8,.500,1.2,3.3,.351,2.2,3.5,.642,.586,1.3,1.8,.729,1.1,2.8,3.9,2.3,0.9,0.3,1.5,2.1,9.2,,santogu01
239,Cam Whitmore,21,WAS,SF,21,0,16.9,3.7,8.0,.456,0.8,2.7,.286,2.9,5.4,.540,.503,1.1,1.5,.742,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,9.2,,whitmca01
240,Corey Kispert,26,2TM,SF,57,9,18.4,3.1,6.7,.463,1.4,4.0,.360,1.7,2.7,.617,.571,1.3,1.6,.798,0.5,1.8,2.3,1.6,0.3,0.2,0.8,1.0,9.0,,kispeco01
240,Corey Kispert,26,WAS,SF,19,2,19.5,3.1,6.3,.496,1.6,4.0,.395,1.5,2.3,.674,.622,1.4,1.8,.765,0.3,2.0,2.3,1.7,0.4,0.2,0.7,1.1,9.2,,kispeco01
240,Corey Kispert,26,ATL,SF,38,7,17.9,3.1,6.9,.449,1.4,4.0,.342,1.7,2.9,.595,.548,1.3,1.6,.817,0.5,1.7,2.2,1.5,0.2,0.2,0.8,1.0,8.9,,kispeco01
241,Taurean Prince,31,MIL,SF,25,6,23.2,3.2,7.1,.458,2.3,5.2,.446,0.9,1.9,.489,.621,0.2,0.2,1.000,0.2,2.9,3.0,1.8,0.6,0.2,1.2,1.9,9.0,,princta02
242,Tristan Vukcevic,22,WAS,C,49,12,13.7,3.1,6.5,.479,1.0,2.9,.347,2.1,3.5,.590,.558,1.8,2.3,.784,0.7,2.3,3.0,1.1,0.5,0.7,1.3,1.7,9.0,,vukcetr01
243,Devin Carter,23,SAC,PG,37,11,18.0,3.2,7.5,.424,0.8,3.0,.270,2.4,4.5,.527,.478,1.8,2.4,.730,0.9,2.4,3.2,2.5,0.9,0.2,1.4,1.3,8.9,,cartede02
244,Quenton Jackson,27,IND,PG,48,18,18.1,3.1,6.5,.470,0.9,2.4,.360,2.2,4.1,.533,.535,1.9,2.4,.814,0.6,1.8,2.4,2.8,0.6,0.1,1.3,1.7,8.9,,jacksqu01
245,Herbert Jones,27,NOP,SF,56,56,28.4,3.3,8.5,.383,1.4,4.6,.309,1.8,3.9,.470,.467,0.9,1.1,.806,0.8,2.6,3.4,2.8,1.6,0.5,1.3,3.2,8.9,,joneshe01
246,Nolan Traoré,19,BRK,PG,56,31,22.2,3.3,8.6,.380,1.1,3.4,.318,2.2,5.1,.422,.444,1.3,1.7,.787,0.3,1.5,1.8,3.8,0.8,0.4,2.3,2.1,8.9,,traorno01
247,Danny Wolf,21,BRK,PF,57,15,20.8,3.1,7.7,.405,1.2,3.7,.322,1.9,4.0,.480,.482,1.5,1.9,.771,1.0,3.9,4.9,2.2,0.5,0.6,1.3,2.2,8.9,,wolfda01
248,Jordan Clarkson,33,NYK,SG,71,1,17.8,3.3,7.3,.453,1.0,3.0,.329,2.3,4.3,.539,.520,1.1,1.3,.830,0.9,0.9,1.7,1.4,0.4,0.1,0.9,1.7,8.7,,clarkjo01
249,Jordan Goodwin,27,PHO,PG,70,10,22.5,3.3,7.9,.413,1.6,4.3,.371,1.7,3.6,.462,.514,0.6,0.8,.696,2.0,2.9,4.9,2.2,1.5,0.2,1.0,1.9,8.7,,goodwjo01
250,Day'Ron Sharpe,24,BRK,C,62,7,18.7,3.5,5.7,.601,0.1,0.6,.231,3.3,5.1,.647,.614,1.7,2.5,.678,2.8,3.9,6.7,2.3,1.1,0.4,1.7,2.4,8.7,,sharpda01
251,Cody Williams,21,UTA,SG,66,40,24.1,3.5,7.5,.472,0.4,2.0,.217,3.1,5.5,.562,.500,1.2,1.7,.696,0.9,2.0,3.0,2.0,0.7,0.4,1.1,1.8,8.7,,willico04
252,Vít Krejčí,25,2TM,PG,64,8,21.7,3.0,6.7,.448,2.0,5.1,.391,1.0,1.5,.636,.599,0.6,0.8,.745,0.5,1.8,2.3,1.6,0.7,0.3,0.6,2.1,8.6,,krejcvi01
252,Vít Krejčí,25,ATL,PG,46,8,22.3,3.1,6.7,.464,2.2,5.2,.423,0.9,1.5,.609,.628,0.6,0.8,.750,0.4,1.7,2.1,1.5,0.8,0.3,0.7,2.3,9.0,,krejcvi01
252,Vít Krejčí,25,POR,PG,18,0,19.9,2.7,6.6,.407,1.5,4.9,.307,1.2,1.7,.700,.521,0.6,0.8,.733,0.7,2.2,2.8,1.8,0.6,0.3,0.6,1.6,7.4,,krejcvi01
253,Justin Champagnie,24,WAS,SF,68,18,19.8,3.3,6.6,.507,0.7,2.3,.321,2.6,4.3,.606,.563,1.2,1.5,.784,2.1,3.5,5.6,1.2,0.8,0.6,0.6,1.6,8.6,,champju01
254,Collin Murray-Boyles,20,TOR,PF,56,22,22.0,3.5,6.1,.579,0.3,0.9,.340,3.2,5.2,.620,.604,1.2,1.9,.651,2.4,2.7,5.1,1.9,0.9,0.9,1.1,2.5,8.6,,murraco01
255,Jonas Valančiūnas,33,DEN,C,64,6,13.3,3.4,5.8,.586,0.1,0.4,.333,3.3,5.5,.603,.596,1.6,2.1,.772,1.6,3.4,5.0,1.2,0.2,0.6,1.1,2.0,8.6,,valanjo01
256,Cason Wallace,22,OKC,SG,77,58,26.6,3.3,7.6,.432,1.3,3.7,.351,2.0,3.8,.510,.518,0.7,0.9,.809,0.8,2.3,3.1,2.6,1.9,0.4,0.9,2.0,8.6,,wallaca01
257,Jaden Ivey,23,2TM,SG,37,5,18.1,3.1,6.9,.445,1.4,3.6,.373,1.7,3.3,.525,.543,1.0,1.3,.809,0.6,1.8,2.5,1.8,0.6,0.4,1.1,1.4,8.5,,iveyja01
257,Jaden Ivey,23,DET,SG,33,2,16.8,3.0,6.7,.450,1.3,3.4,.372,1.7,3.2,.533,.545,0.9,1.2,.789,0.6,1.6,2.2,1.6,0.5,0.4,1.1,1.3,8.2,,iveyja01
257,Jaden Ivey,23,CHI,SG,4,3,28.8,3.8,9.0,.417,2.0,5.3,.381,1.8,3.8,.467,.528,2.0,2.3,.889,1.3,3.5,4.8,4.0,2.0,0.5,1.5,2.3,11.5,,iveyja01
258,Simone Fontecchio,30,MIA,SF,70,9,16.8,2.8,6.7,.412,1.8,4.7,.375,1.0,2.0,.497,.542,1.2,1.5,.843,0.8,2.2,3.0,1.4,0.5,0.1,0.7,1.5,8.5,,fontesi01
259,Bones Hyland,25,MIN,PG,71,3,16.6,3.0,6.6,.453,1.6,4.2,.388,1.4,2.4,.568,.577,0.9,1.2,.780,0.3,1.5,1.8,2.6,0.6,0.2,1.0,1.7,8.5,,hylanbo01
260,Brook Lopez,37,LAC,C,74,39,21.8,3.1,7.2,.429,1.5,4.2,.361,1.6,3.0,.525,.535,0.8,1.0,.757,0.6,3.0,3.6,1.3,0.6,1.2,0.8,2.0,8.5,,lopezbr01
261,Luke Kennard,29,2TM,SG,77,5,21.7,3.1,5.7,.532,1.5,3.2,.478,1.5,2.6,.599,.664,0.8,0.9,.925,0.4,1.9,2.4,2.2,0.7,0.1,0.8,1.3,8.4,,kennalu01
261,Luke Kennard,29,ATL,SG,46,0,20.5,2.8,5.2,.538,1.6,3.2,.497,1.2,2.0,.604,.692,0.7,0.8,.914,0.4,1.7,2.2,2.1,0.7,0.1,0.7,1.2,7.9,,kennalu01
261,Luke Kennard,29,LAL,SG,31,5,23.4,3.4,6.5,.525,1.4,3.1,.448,2.0,3.4,.594,.631,1.0,1.0,.938,0.4,2.3,2.7,2.5,0.7,0.1,0.9,1.5,9.2,,kennalu01
262,Kentavious Caldwell-Pope,32,MEM,SG,51,14,21.3,2.9,7.2,.410,1.1,3.4,.316,1.9,3.8,.495,.485,1.4,1.6,.913,0.4,2.1,2.5,2.7,0.8,0.2,1.2,1.1,8.4,,caldwke01
263,Nique Clifford,23,SAC,SG,74,27,24.9,3.2,7.9,.410,1.0,3.1,.335,2.2,4.8,.459,.476,0.9,1.3,.710,0.9,2.8,3.7,2.4,0.9,0.3,1.5,2.1,8.4,,cliffni01
264,Luguentz Dort,26,OKC,SF,68,68,26.9,2.9,7.6,.386,1.9,5.4,.343,1.1,2.2,.490,.508,0.6,0.9,.759,0.8,2.8,3.6,1.2,0.9,0.4,0.8,2.6,8.4,,dortlu01
265,Draymond Green,35,GSW,PF,68,68,27.5,3.0,7.2,.418,1.5,4.6,.326,1.5,2.7,.575,.520,0.9,1.2,.702,0.8,4.7,5.5,5.5,0.9,0.6,2.7,2.9,8.4,,greendr01
266,Jared McCain,21,2TM,SG,66,2,17.2,3.0,7.1,.428,1.5,3.8,.391,1.5,3.2,.472,.534,0.8,0.9,.877,0.3,1.7,2.0,1.3,0.5,0.1,0.8,1.2,8.3,,mccaija01
266,Jared McCain,21,PHI,SG,37,1,16.8,2.4,6.2,.385,1.2,3.2,.378,1.2,3.0,.393,.483,0.6,0.7,.880,0.2,1.9,2.0,1.7,0.6,0.1,0.8,1.2,6.6,,mccaija01
266,Jared McCain,21,OKC,SG,29,1,17.8,3.8,8.1,.470,1.9,4.6,.403,2.0,3.5,.559,.585,1.0,1.1,.875,0.6,1.4,2.0,0.9,0.4,0.1,0.9,1.3,10.5,,mccaija01
267,Ron Holland,20,DET,SF,77,5,19.9,3.0,7.0,.434,0.6,2.5,.253,2.4,4.5,.536,.480,1.6,1.9,.805,1.1,2.9,4.0,1.2,1.2,0.3,1.2,2.3,8.3,,hollaro01
268,Al Horford,39,GSW,C,44,12,21.6,3.1,7.3,.426,1.7,4.6,.363,1.4,2.7,.534,.541,0.5,0.6,.846,1.0,3.9,4.9,2.6,0.7,1.2,0.9,1.2,8.3,,horfoal01
269,Jake LaRavia,24,LAL,PF,81,43,25.1,3.0,6.4,.460,1.0,3.0,.322,2.0,3.4,.579,.535,1.4,1.9,.763,1.4,2.5,4.0,1.8,1.3,0.5,1.1,2.4,8.3,,laravja01
270,Kadary Richmond,24,WAS,SG,3,0,22.3,3.3,5.3,.625,0.7,1.3,.500,2.7,4.0,.667,.688,1.0,1.0,1.000,0.3,3.0,3.3,2.7,2.7,0.3,0.7,0.7,8.3,,richmka01
271,Malachi Smith,26,BRK,SG,14,3,23.1,3.2,6.4,.500,1.3,2.9,.450,1.9,3.6,.540,.600,0.6,0.6,1.000,0.8,2.5,3.3,3.1,0.9,0.3,0.9,0.7,8.3,,smithma02
272,Bradley Beal,32,LAC,SG,6,6,20.2,3.0,8.0,.375,1.2,3.2,.368,1.8,4.8,.379,.448,1.0,1.3,.750,0.3,0.5,0.8,1.7,0.5,0.0,1.5,2.3,8.2,,bealbr01
273,LJ Cryer,24,GSW,PG,18,1,16.2,2.6,6.5,.402,2.1,5.2,.394,0.6,1.3,.435,.560,0.9,1.1,.895,0.2,1.3,1.6,1.0,0.2,0.0,0.8,1.6,8.2,,cryerlj01
274,Bryce McGowens,23,NOP,SG,42,13,21.0,2.7,5.6,.481,0.9,2.2,.409,1.8,3.4,.528,.561,1.8,2.3,.779,0.3,1.8,2.1,1.5,0.6,0.2,0.4,2.1,8.1,,mcgowbr01
275,Gary Trent Jr.,27,MIL,SG,65,21,21.2,2.8,7.3,.387,1.9,5.3,.360,0.9,2.0,.458,.517,0.6,0.8,.769,0.1,0.9,1.0,1.2,0.5,0.0,0.6,1.3,8.1,,trentga02
276,DeJon Jarreau,28,MEM,SG,11,0,21.0,3.0,7.5,.398,0.4,2.7,.133,2.6,4.8,.547,.422,1.6,2.1,.783,1.1,3.5,4.6,3.3,0.9,0.7,2.4,2.5,8.0,,jarrede01
277,Tre Scott,29,BRK,PF,5,3,31.2,3.2,8.4,.381,0.8,2.8,.286,2.4,5.6,.429,.429,0.8,1.2,.667,1.8,3.8,5.6,1.8,1.4,1.0,0.4,2.0,8.0,,scotttr01
278,Moussa Diabaté,24,CHO,C,72,46,26.0,3.2,5.0,.631,0.0,0.0,.500,3.1,5.0,.631,.632,1.6,2.4,.659,3.7,5.0,8.7,1.9,0.8,1.0,1.0,2.4,7.9,,diabamo01
279,Nate Williams,26,GSW,SG,13,2,17.5,3.1,6.2,.494,0.9,2.1,.444,2.2,4.2,.519,.568,0.8,1.0,.846,1.4,0.8,2.2,1.0,0.4,0.0,1.2,1.9,7.9,,willije02
280,Walter Clayton,22,2TM,PG,69,6,20.4,2.6,6.7,.384,1.1,3.5,.307,1.5,3.1,.470,.465,1.6,1.8,.901,0.4,1.7,2.0,4.0,0.6,0.3,1.7,1.7,7.8,,claytwa01
280,Walter Clayton,22,UTA,PG,45,0,18.0,2.3,5.7,.398,1.0,3.2,.308,1.3,2.5,.513,.484,1.3,1.4,.935,0.3,1.6,2.0,3.2,0.5,0.3,1.3,1.7,6.8,,claytwa01
280,Walter Clayton,22,MEM,PG,24,6,25.0,3.1,8.5,.366,1.3,4.2,.307,1.8,4.3,.423,.441,2.1,2.5,.864,0.4,1.7,2.1,5.7,0.8,0.3,2.5,1.7,9.7,,claytwa01
281,Bruce Brown,29,DEN,SG,81,3,24.3,3.0,6.3,.469,0.7,1.8,.388,2.3,4.5,.501,.524,1.2,1.6,.762,1.0,2.8,3.9,2.1,1.0,0.2,1.1,2.4,7.8,,brownbr01
282,Sharife Cooper,24,WAS,PG,40,1,16.8,3.0,5.9,.504,0.7,1.8,.375,2.3,4.1,.561,.561,1.2,1.5,.828,0.4,1.7,2.1,3.0,0.4,0.1,1.5,1.5,7.8,,coopesh01
283,Luka Garza,27,BOS,C,68,5,15.9,2.9,5.0,.578,0.8,1.8,.430,2.1,3.2,.661,.655,1.3,1.7,.761,2.2,1.7,4.0,1.0,0.4,0.4,0.6,2.3,7.8,,garzalu01
284,Jalen Slawson,26,IND,SF,12,5,23.6,2.8,6.3,.440,1.3,3.3,.385,1.5,3.0,.500,.540,1.0,1.3,.800,0.6,4.0,4.6,2.7,1.3,1.1,1.4,2.0,7.8,,slawsja01
